doi_________::c13e2cc6515571cc9434070d334723b6,3274.8,EUR
doi_________::21c2211b1878ce30c31bff5d9d8f744c,2535.33,EUR
doi_________::010062ce0b834710f7723847c07c93a3,1073.04,EUR
doi_________::2816d42621c3265d5c47c1586a7ccbc3,1577.56,EUR
doi_________::2c2d65d014f79509e1e35f55f23a6293,1705.23,EUR
doi_________::68f647ddd44f7ef7af211800c2118e72,1449.0,EUR
doi_________::a2cb7581ecf4601124da92f485892af8,2280.37,EUR
doi_________::24156e5b242ae4a5c067d6c92e379d76,3451.0,EUR
doi_________::fe72a294dfb9321e7a08d388344c5ce1,4063.86,EUR
doi_________::5d9202a6a0bb7b70b63f2836b27c6229,464.0,EUR
doi_________::6170f04cfab7997b0f58576424919246,2792.91,EUR
doi_________::c2beef3406c99855c177e2a9d2f0a6eb,1375.0,EUR
doi_________::01a0cc36bcf9aebbeeb4f465df4b4d47,2709.82,EUR
doi_________::4b8ca50f2b376ddc3796f8138ac2e741,1740.44,EUR
doi_________::c69e77b86dec62b39159207e46adfe3f,2340.0,EUR
doi_________::c50ded244f9634ac5d02c78988523a03,1847.0,EUR
doi_________::1f924eebb77518d5af3c56b48d25be7a,1999.34,EUR
doi_________::92526bfb616ecd146f43ce0519d6f8d5,2018.92,EUR
doi_________::129a80c84cd2f4a66e810989e9e8438e,2327.31,EUR
doi_________::921ad1de808a435c1542a09babc2cf2f,1661.24,EUR
doi_________::3d8899feeedd5552c9844b2245cd1381,3276.53,EUR
doi_________::3e06a6811b60ab3b9f1de47cfc058adc,2989.22,EUR
doi_________::7336045d7fc5b7cb0818df8dfd44a593,1782.0,EUR
doi_________::9e21ea0db9a26faf7ea3951e4aebd4ce,4440.1,EUR
doi_________::6f0974b085d322febf66fa744babfb35,1305.37,EUR
doi_________::99a5a28ba74fbd9d5b811ca8c130cbff,1753.18,EUR
doi_dedup___::aad7f08cbf53439942e228eac5a25810,1165.0,EUR
doi_________::33e3cda78f6457f967f410c05becfc2e,1518.21,EUR
doi_________::db76b4eb7477cbec644a0dff9eb53efc,2061.55,EUR
