nih_________::0296d67f015a8214ff4391c608aa80ec,3,0,0,0
snsf________::616fc1a760e70caa81c8d8364e8e7d86,3,0,0,0
nih_________::19e2d9a37d1786ae522dab0d30506517,10,0,0,0
nih_________::58d9e3c69de9963728dd357a1ade8819,8,0,0,0
nsf_________::0af907383d4da098ad1324f147ceca73,2,0,0,0
nsf_________::9eda51a7674cbc70a13e60a85f14842f,13,0,0,0
nih_________::3e8940e333a8bd592a8fcca5229fb20b,7,0,0,0
nih_________::267749bc55d9f30308de12bf5c52b4bf,1,0,0,0
nsf_________::ecfb638ac4dd2af8b07e6b873f0bca4f,1,0,0,0
corda_______::053008825295970b30e2ae57ea5b1f05,68,2,0,5
nih_________::5b6707729bf087de76ef92c46f96501f,1,0,0,0
corda__h2020::cd4a77c7a390e15e9bc7cd1cb2f8a54d,14,22,0,0
arc_________::057f5635837cf51cdee18a97a7a806ba,11,0,0,0
anr_________::ea106d2d3b8acf3a8ccd12298458d91c,374,10,0,0
ukri________::0b72a2bb6cda944a0244ccb2e65727b7,2,0,0,0
corda__h2020::6305102797a660b181850aae5ab1a420,42,1,0,0
corda__h2020::edc5da6b7cf6e66921dd365e746ec543,11,0,0,0
corda__h2020::fe0ef285bec0c5b87a2ecddb461e6a8a,55,0,0,0
corda_______::c10068315bb0a2cc04affd5d5b2781fc,40,0,0,0
nih_________::653b6bed3b5a72b6af7e91f8d99aa3a0,9,0,0,0
snsf________::c139c9acff1055f958cafa830f603e0a,1,0,0,0
nih_________::0328ab226dbb059b351452fb32a8d30c,1,0,0,0
nhmrc_______::754c09f2004b793dc2148d7dd63b792f,8,0,0,0
ukri________::839e4254f2473420f9dfd5eefe898d49,41,6,0,0
corda_______::eb628f0ee176eead7bcfca5e1669b383,4,0,0,0
nwo_________::f77f13d2424e2b3dbf8324f3657f6b21,12,0,0,0
nih_________::179c5bd447a6725fbd7a093bca935495,4,0,0,0
nih_________::215cc16f9a125f944bf00d00b6476b6e,14,1,0,0
nih_________::0d5742009d391f5c9495809e777d23af,18,0,0,0
nih_________::0323a16520845f60952ab4930168780a,16,11,0,0
nih_________::108e14270f067d2c5b6354e9a152bc8a,8,9,0,0
nih_________::017b4d53fbe87d9f61facca43d4fc2a1,7,0,0,0
corda_______::bb51bfe42f0696ca80c7fdb97e87a2c2,2,0,0,0
corda_______::1fd6ac0aa2935bcb749bb5a9fc4a0cc8,53,1,0,0
corda_______::c75652b7e39ab9d1670be7f423abe944,33,27,0,0
corda__h2020::c63aeb85d120baefe4287b136631ff3b,36,116,0,0
corda_______::8454b1dff5692f5a67a000f28a104c8e,13,0,0,0
nsf_________::07104bda435917e940384ba4a61abc51,6,1,0,0
nsf_________::8cffcd41e91ea4dc1009e0af674b077f,2,0,0,0
mestd_______::0ac80accc4e8d179a2ebb4707a083c7d,28,2,0,0
nih_________::36b291b71c5a413e47516353970e44d0,6,0,0,0
nwo_________::4587d99e001508516991b871f749a776,55,5,0,0
ukri________::a8d337619f8b973b5e5ce1a9e630eab8,41,0,0,0
nih_________::1217eab113bdba08b6594fa98ac511ce,23,1,0,0
corda_______::07b4cab6d09f5da888323694a5df7e38,35,0,0,0
